노선번호,총운행횟수,첫차,막차,구분
7022,100,0430,2310,3
7025,81,0430,2320,3
702A,136,0400,2300,3
702B,80,0405,2250,3
7212,76,0400,2150,3
751,112,0400,2230,3
752,110,0415,2220,3
753,93,0410,2220,3
7613,66,0430,2300,3
7715,106,0430,2330,3
7720,88,0430,2310,3
8771,0,0000,0000,3
8774,36,0500,2120,3
9701,68,0500,2350,3
9707,122,0500,0100,3
1111,85,0420,2320,3
1162,76,0500,2340,3
1164,180,0500,2340,3
2115,66,0400,2240,3
6513,96,0430,2230,3
6613,56,0430,2250,3
6614,63,0430,2240,3
6616,56,0430,2310,3
6638,72,0430,2300,3
6640A,88,0430,2310,3
6640B,88,0430,2310,3
6716,85,0430,2220,3
3214,90,0440,2320,3
3314,121,0450,2330,3
3315,180,0440,2330,3
3316,108,0450,2330,3
3317,143,0430,2330,3
3318,25,0430,2310,3
3321,18,0430,2340,3
3416,80,0440,2330,3
370,30,0400,2250,3
604,79,0400,2300,3
606,63,0430,2300,3
652,95,0400,2300,3
